Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3,
-0.409967,0.228495,0.244825,1.31359,-0.524556,-0.244088,-0.746672,
-0.409917,0.22832,0.244599,1.31347,-0.524373,-0.244288,-0.747154,
-0.409636,0.228827,0.245202,1.31411,-0.524819,-0.244451,-0.749373,
-0.409513,0.228654,0.244779,1.31411,-0.524693,-0.244202,-0.74915,
-0.409788,0.228315,0.244683,1.31365,-0.524637,-0.244367,-0.748588,
-0.409595,0.22869,0.245062,1.31393,-0.52465,-0.244335,-0.747932,
-0.40952,0.228604,0.244807,1.3141,-0.524854,-0.244225,-0.746933,
-0.409482,0.228647,0.245109,1.31391,-0.525136,-0.244862,-0.751214,
-0.409463,0.228473,0.244695,1.31392,-0.524905,-0.244216,-0.747375,
-0.409406,0.22835,0.244452,1.31381,-0.524998,-0.244029,-0.748403,
-0.409114,0.2287,0.244737,1.31437,-0.525154,-0.24403,-0.749643,
-0.408914,0.228657,0.244649,1.3146,-0.525143,-0.244315,-0.748504,
-0.409228,0.228329,0.244325,1.31418,-0.525337,-0.24404,-0.748415,
-0.40886,0.228737,0.244659,1.31458,-0.525313,-0.244125,-0.748345,
-0.408806,0.228634,0.244379,1.31461,-0.52535,-0.243854,-0.748174,
-0.40875,0.228666,0.244658,1.31438,-0.525555,-0.24458,-0.752225,
-0.40865,0.228641,0.244312,1.31476,-0.525477,-0.243855,-0.748389,
-0.408578,0.228602,0.244306,1.31467,-0.525595,-0.243978,-0.749261,
-0.408616,0.228612,0.244404,1.31475,-0.52558,-0.24412,-0.749973,
-0.408419,0.228649,0.244176,1.31488,-0.525505,-0.243811,-0.749524,
-0.408705,0.228379,0.244057,1.31439,-0.525493,-0.243887,-0.748167,
-0.408635,0.228518,0.244163,1.31468,-0.525862,-0.243866,-0.7508,
-0.40866,0.228384,0.244109,1.31446,-0.525538,-0.243989,-0.749266,
-0.408513,0.228494,0.244152,1.31466,-0.525558,-0.244164,-0.749779,
-0.408504,0.228467,0.244026,1.31471,-0.525793,-0.243798,-0.749754,
-0.408458,0.22811,0.243656,1.31468,-0.525679,-0.244049,-0.748793,
-0.408274,0.228402,0.244006,1.31473,-0.52516,-0.244231,-0.749152,
-0.407966,0.228603,0.243945,1.31512,-0.525341,-0.244174,-0.749952,
-0.408312,0.228304,0.243962,1.3144,-0.525048,-0.244308,-0.748011,
-0.40818,0.228492,0.244124,1.31479,-0.525331,-0.244399,-0.749621,
-0.408166,0.22828,0.243843,1.31459,-0.525039,-0.244244,-0.748128,
-0.408105,0.228291,0.244153,1.31451,-0.525268,-0.245016,-0.751242,
-0.408161,0.2282,0.243824,1.31469,-0.52523,-0.244291,-0.748664,
-0.408007,0.228126,0.243794,1.31458,-0.524938,-0.244568,-0.748141,
-0.407762,0.228398,0.244009,1.31501,-0.524976,-0.244564,-0.748653,
-0.407488,0.228557,0.244063,1.31525,-0.524976,-0.244768,-0.749258,
-0.407946,0.228024,0.243644,1.31469,-0.525048,-0.244511,-0.747834,
-0.407701,0.228422,0.244029,1.31515,-0.525075,-0.24477,-0.748996,
-0.407718,0.228243,0.243854,1.31497,-0.525156,-0.244598,-0.748272,
-0.407593,0.228413,0.244349,1.31502,-0.525525,-0.245551,-0.751248,
-0.407687,0.228211,0.243948,1.31472,-0.524813,-0.244689,-0.746298,
-0.407645,0.228052,0.243783,1.31483,-0.525049,-0.244766,-0.747879,
-0.407284,0.228433,0.244172,1.31537,-0.52505,-0.245077,-0.748241,
-0.407103,0.228426,0.24394,1.31538,-0.524925,-0.244884,-0.748121,
-0.407515,0.228035,0.243748,1.31474,-0.524832,-0.244829,-0.747432,
-0.407233,0.228473,0.244145,1.31542,-0.525292,-0.244805,-0.748756,
-0.407312,0.228264,0.243855,1.31509,-0.525123,-0.244657,-0.747638,
